width,distance,i_d,time,performance_index,rank
"0,03125",1,6,"0,673","8,92",20
"0,03125",2,7,"0,705","9,93",18
"0,03125",4,8,"0,766","10,44",14
"0,03125",8,9,"0,825","10,91",13
"0,03125",16,10,"0,959","10,43",15
"0,0625",1,5,"0,484","10,33",16
"0,0625",2,6,"0,518","11,58",11
"0,0625",4,7,"0,58","12,07",6
"0,0625",8,8,"0,644","12,42",2
"0,0625",16,9,"0,768","11,72",9
"0,125",1,4,"0,388","10,31",17
"0,125",2,5,"0,431","11,6",10
"0,125",4,6,"0,496","12,1",5
"0,125",8,7,"0,557","12,57",1
"0,125",16,8,"0,668","11,98",7
"0,25",1,3,"0,326","9,2",19
"0,25",2,4,"0,357","11,2",12
"0,25",4,5,"0,411","12,16",4
"0,25",8,6,"0,486","12,34",3
"0,25",16,7,"0,592","11,82",8